N,ATE,K,mean_stop_gsht,mean_stop_avi,mean_stop_avi_t_scale,mean_power_gsht_n,mean_power_avi_n,mean_power_gsht_t,mean_power_avi_t
5000,0.05,50,42.41,4259.32,42.5932,0.35,0.25,0.31999999999999995,0.21000000000000002
5000,0.05,100,87.33,4474.09,89.4818,0.3,0.17000000000000004,0.25,0.17000000000000004
5000,0.1,5,2.9599999999999995,2470.9,2.4709,0.9299999999999999,0.92,0.41,0.6599999999999999
5000,0.1,10,5.62,2295.75,4.5915,0.94,0.94,0.48999999999999994,0.67
5000,0.1,25,12.669999999999998,2169.9700000000003,10.84985,0.9099999999999999,0.95,0.53,0.61
5000,0.1,50,27.130000000000003,2286.99,22.8699,0.89,0.96,0.55,0.6599999999999999
5000,0.1,100,57.510000000000005,2537.96,50.7592,0.85,0.95,0.52,0.5700000000000001
5000,0.5,5,1,79.56,0.07956,1,1,1,1
5000,0.5,10,1,78.51,0.15702,1,1,1,1
5000,0.5,25,1.22,75.83999999999999,0.3792,1,1,0.79,1
5000,0.5,50,2.37,86.33000000000001,0.8633000000000001,1,1,0.63,0.97
5000,0.5,100,4.15,84.57,1.6914,1,1,0.6,0.97
8000,0.05,5,3.76,6444.6,4.027875,0.56,0.38000000000000006,0.38999999999999996,0.31
8000,0.05,10,7.62,6147.75,7.6846875,0.6100000000000001,0.47,0.38999999999999996,0.35
8000,0.05,25,19.39,6202.759999999999,19.383625000000002,0.5700000000000001,0.47000000000000003,0.41000000000000003,0.32
8000,0.05,50,38.7,6586.3,41.164375,0.5700000000000001,0.42000000000000004,0.4,0.29999999999999993
8000,0.05,100,73.86,6508.88,81.361,0.6100000000000001,0.37,0.44000000000000006,0.27
8000,0.1,5,2.38,2451.85,1.53240625,0.98,1,0.64,0.8200000000000001
8000,0.1,10,4.04,2275.71,2.8446375,0.98,0.99,0.65,0.75
8000,0.1,25,8.78,2293.09,7.16590625,0.99,1,0.5900000000000001,0.7200000000000001
8000,0.1,50,17.73,2434.23,15.2139375,1,1,0.54,0.65
8000,0.1,100,40.13,2389.25,29.865625,0.98,0.98,0.56,0.77
8000,0.5,5,1,81.01,0.05063125,1,1,1,1
8000,0.5,10,1,79.52000000000001,0.0994,1,1,1,1
8000,0.5,25,1.1400000000000001,77.14,0.2410625,1,1,0.8600000000000001,1
8000,0.5,50,1.6900000000000002,70.8,0.4425,1,1,0.43000000000000005,1
8000,0.5,100,2.9,72.13,0.901625,1,1,0.36999999999999994,0.99
10000,0.05,5,3.7800000000000002,7670.58,3.83529,0.6799999999999999,0.56,0.36000000000000004,0.37
10000,0.05,10,7.470000000000001,7929.9,7.9299,0.61,0.49,0.41,0.33999999999999997
10000,0.05,25,19.31,7763.84,19.4096,0.5900000000000001,0.56,0.43000000000000005,0.38000000000000006
10000,0.05,50,36.55,8019.48,40.0974,0.5900000000000001,0.4899999999999998,0.43000000000000005,0.26000000000000006
10000,0.05,100,79.36,8177.07,81.7707,0.56,0.43000000000000005,0.38000000000000006,0.31
10000,0.1,5,1.96,2806.2699999999995,1.403135,1,1,0.4000000000000001,0.7399999999999999
10000,0.1,10,3.25,2364.31,2.36431,1,1,0.65,0.78
10000,0.1,25,8.729999999999999,2698.55,6.746375,0.99,1,0.57,0.72
10000,0.1,50,15.47,2280.99,11.40495,1,1,0.57,0.7200000000000001
10000,0.1,100,31.899999999999995,2360.5,23.605,0.99,1,0.5799999999999998,0.71
10000,0.5,5,1,79.13,0.039565,1,1,1,1
10000,0.5,10,1,82,0.082,1,1,1,1
10000,0.5,25,1.03,82.12,0.20529999999999998,1,1,0.97,1
